id,type,status,message,activity_date,customer_login_id,updated_at
3174,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:40:45'), member1=None)",135,2024-08-07 07:05:23.765
3175,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:42:56'), member1=None)",135,2024-08-07 07:05:23.765
3176,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:44:49'), member1=None)",135,2024-08-07 07:05:23.765
3177,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:45:11'), member1=None)",144,2024-08-07 07:05:23.765
3178,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:47:38'), member1=None)",146,2024-08-07 07:05:23.765
3179,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:48:29'), member1=None)",147,2024-08-07 07:05:23.765
3180,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:51:36'), member1=None)",135,2024-08-07 07:05:23.765
3181,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:51:47'), member1=None)",144,2024-08-07 07:05:23.765
3182,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:52:23'), member1=None)",140,2024-08-07 07:05:23.765
3183,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:58:29'), member1=None)",147,2024-08-07 07:05:23.765
3184,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:02:10'), member1=None)",140,2024-08-07 07:05:23.765
3185,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:04:07'), member1=None)",147,2024-08-07 07:05:23.765
3186,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:12:07'), member1=None)",136,2024-08-07 07:05:23.765
3187,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:14:12'), member1=None)",144,2024-08-07 07:05:23.765
3188,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:14:26'), member1=None)",149,2024-08-07 07:05:23.765
3189,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:18:58'), member1=None)",144,2024-08-07 07:05:23.765
3190,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 04:30:33'), member1=None)",148,2024-08-07 07:05:23.765
3191,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 05:55:07'), member1=None)",143,2024-08-07 07:05:23.765
3192,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 06:06:40'), member1=None)",150,2024-08-07 07:05:23.765
3193,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 21:51:32'), member1=None)",151,2024-08-07 07:05:23.765
3194,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-23 21:53:56'), member1=None)",151,2024-08-07 07:05:23.765
3195,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 21:56:02'), member1=None)",151,2024-08-07 07:05:23.765
3196,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 22:37:46'), member1=None)",152,2024-08-07 07:05:23.765
3197,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-23 22:38:05'), member1=None)",152,2024-08-07 07:05:23.765
3198,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 22:38:22'), member1=None)",152,2024-08-07 07:05:23.765
3199,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-23 22:39:16'), member1=None)",152,2024-08-07 07:05:23.765
3200,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 22:39:21'), member1=None)",152,2024-08-07 07:05:23.765
3201,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 22:44:41'), member1=None)",152,2024-08-07 07:05:23.765
3202,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-23 22:45:15'), member1=None)",152,2024-08-07 07:05:23.765
3203,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-23 22:45:20'), member1=None)",152,2024-08-07 07:05:23.765
3204,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 00:14:46'), member1=None)",153,2024-08-07 07:05:23.765
3205,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 00:15:22'), member1=None)",153,2024-08-07 07:05:23.765
3206,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 00:16:28'), member1=None)",144,2024-08-07 07:05:23.765
3207,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 00:26:02'), member1=None)",144,2024-08-07 07:05:23.765
3208,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 00:31:57'), member1=None)",144,2024-08-07 07:05:23.765
3209,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 00:53:51'), member1=None)",154,2024-08-07 07:05:23.765
3210,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 01:15:30'), member1=None)",155,2024-08-07 07:05:23.765
3211,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 01:15:39'), member1=None)",155,2024-08-07 07:05:23.765
3212,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 01:16:43'), member1=None)",155,2024-08-07 07:05:23.765
3213,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 01:16:49'), member1=None)",155,2024-08-07 07:05:23.765
3214,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 01:26:39'), member1=None)",154,2024-08-07 07:05:23.765
3215,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 01:51:35'), member1=None)",154,2024-08-07 07:05:23.765
3216,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:13:03'), member1=None)",154,2024-08-07 07:05:23.765
3217,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:37:22'), member1=None)",143,2024-08-07 07:05:23.765
3218,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:37:42'), member1=None)",154,2024-08-07 07:05:23.765
3219,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:46:01'), member1=None)",154,2024-08-07 07:05:23.765
3220,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:46:47'), member1=None)",154,2024-08-07 07:05:23.765
3221,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:55:47'), member1=None)",154,2024-08-07 07:05:23.765
3222,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 02:59:44'), member1=None)",154,2024-08-07 07:05:23.765
3223,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 03:19:13'), member1=None)",154,2024-08-07 07:05:23.765
3224,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 03:36:55'), member1=None)",157,2024-08-07 07:05:23.765
3225,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 03:45:22'), member1=None)",157,2024-08-07 07:05:23.765
3226,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 03:55:22'), member1=None)",157,2024-08-07 07:05:23.765
3227,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 04:21:18'), member1=None)",154,2024-08-07 07:05:23.765
3228,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 04:44:28'), member1=None)",157,2024-08-07 07:05:23.765
3229,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 05:24:37'), member1=None)",154,2024-08-07 07:05:23.765
3230,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 22:20:00'), member1=None)",144,2024-08-07 07:05:23.765
3231,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:04:39'), member1=None)",158,2024-08-07 07:05:23.765
3232,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:10:31'), member1=None)",159,2024-08-07 07:05:23.765
3233,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:11:47'), member1=None)",158,2024-08-07 07:05:23.765
3234,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:12:35'), member1=None)",159,2024-08-07 07:05:23.765
3235,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:19:07'), member1=None)",159,2024-08-07 07:05:23.765
3236,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:23:26'), member1=None)",159,2024-08-07 07:05:23.765
3237,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-24 23:29:05'), member1=None)",159,2024-08-07 07:05:23.765
3238,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:30:25'), member1=None)",159,2024-08-07 07:05:23.765
3239,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-24 23:32:57'), member1=None)",159,2024-08-07 07:05:23.765
3240,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:33:12'), member1=None)",159,2024-08-07 07:05:23.765
3241,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-24 23:35:41'), member1=None)",159,2024-08-07 07:05:23.765
3242,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:35:56'), member1=None)",159,2024-08-07 07:05:23.765
3243,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:51:24'), member1=None)",159,2024-08-07 07:05:23.765
3244,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:51:45'), member1=None)",154,2024-08-07 07:05:23.765
3245,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-24 23:52:58'), member1=None)",154,2024-08-07 07:05:23.765
3246,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 00:05:24'), member1=None)",144,2024-08-07 07:05:23.765
3247,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 00:52:18'), member1=None)",159,2024-08-07 07:05:23.765
3248,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 00:58:04'), member1=None)",158,2024-08-07 07:05:23.765
3249,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 01:07:52'), member1=None)",159,2024-08-07 07:05:23.765
3250,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 01:10:49'), member1=None)",158,2024-08-07 07:05:23.765
3251,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 01:12:58'), member1=None)",159,2024-08-07 07:05:23.765
3252,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 02:53:54'), member1=None)",154,2024-08-07 07:05:23.765
3253,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:15:10'), member1=None)",159,2024-08-07 07:05:23.765
3254,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:16:04'), member1=None)",158,2024-08-07 07:05:23.765
3255,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:33:07'), member1=None)",154,2024-08-07 07:05:23.765
3256,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-25 03:37:06'), member1=None)",159,2024-08-07 07:05:23.765
3257,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:41:18'), member1=None)",159,2024-08-07 07:05:23.765
3258,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:50:53'), member1=None)",159,2024-08-07 07:05:23.765
3259,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:51:35'), member1=None)",154,2024-08-07 07:05:23.765
3260,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:57:31'), member1=None)",154,2024-08-07 07:05:23.765
3261,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 03:59:07'), member1=None)",159,2024-08-07 07:05:23.765
3262,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-25 03:59:56'), member1=None)",159,2024-08-07 07:05:23.765
3263,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:00:40'), member1=None)",159,2024-08-07 07:05:23.765
3264,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:07:02'), member1=None)",154,2024-08-07 07:05:23.765
3265,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:07:02'), member1=None)",158,2024-08-07 07:05:23.765
3266,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-25 04:07:42'), member1=None)",158,2024-08-07 07:05:23.765
3267,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:08:09'), member1=None)",158,2024-08-07 07:05:23.765
3268,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-25 04:31:36'), member1=None)",159,2024-08-07 07:05:23.765
3269,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:36:12'), member1=None)",159,2024-08-07 07:05:23.765
3270,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:39:31'), member1=None)",154,2024-08-07 07:05:23.765
3271,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:41:21'), member1=None)",154,2024-08-07 07:05:23.765
3272,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:46:34'), member1=None)",159,2024-08-07 07:05:23.765
3273,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:53:10'), member1=None)",154,2024-08-07 07:05:23.765
3274,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 04:55:18'), member1=None)",154,2024-08-07 07:05:23.765
3275,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 05:30:35'), member1=None)",157,2024-08-07 07:05:23.765
3276,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 06:01:56'), member1=None)",159,2024-08-07 07:05:23.765
3277,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:05:49'), member1=None)",158,2024-08-07 07:05:23.765
3278,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:15:45'), member1=None)",158,2024-08-07 07:05:23.765
3279,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:19:15'), member1=None)",154,2024-08-07 07:05:23.765
3280,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:24:04'), member1=None)",158,2024-08-07 07:05:23.765
3281,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:29:34'), member1=None)",159,2024-08-07 07:05:23.765
3282,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:32:45'), member1=None)",160,2024-08-07 07:05:23.765
3283,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:37:14'), member1=None)",158,2024-08-07 07:05:23.765
3284,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:39:44'), member1=None)",159,2024-08-07 07:05:23.765
3285,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:41:20'), member1=None)",154,2024-08-07 07:05:23.765
3286,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:42:31'), member1=None)",158,2024-08-07 07:05:23.765
3287,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:47:45'), member1=None)",160,2024-08-07 07:05:23.765
3288,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:55:10'), member1=None)",160,2024-08-07 07:05:23.765
3289,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-25 23:58:36'), member1=None)",159,2024-08-07 07:05:23.765
3290,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:02:49'), member1=None)",160,2024-08-07 07:05:23.765
3291,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:04:24'), member1=None)",159,2024-08-07 07:05:23.765
3292,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:06:38'), member1=None)",150,2024-08-07 07:05:23.765
3293,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-26 00:09:02'), member1=None)",150,2024-08-07 07:05:23.765
3294,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:09:34'), member1=None)",160,2024-08-07 07:05:23.765
3295,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:09:56'), member1=None)",150,2024-08-07 07:05:23.765
3296,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:10:28'), member1=None)",158,2024-08-07 07:05:23.765
3297,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:10:45'), member1=None)",158,2024-08-07 07:05:23.765
3298,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:13:14'), member1=None)",158,2024-08-07 07:05:23.765
3299,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:15:18'), member1=None)",160,2024-08-07 07:05:23.765
3300,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:16:00'), member1=None)",159,2024-08-07 07:05:23.765
3301,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:17:56'), member1=None)",160,2024-08-07 07:05:23.765
3302,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-26 00:18:29'), member1=None)",159,2024-08-07 07:05:23.765
3303,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:19:12'), member1=None)",158,2024-08-07 07:05:23.765
3304,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:21:19'), member1=None)",159,2024-08-07 07:05:23.765
3305,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-26 00:24:04'), member1=None)",159,2024-08-07 07:05:23.765
3306,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-26 00:25:00'), member1=None)",160,2024-08-07 07:05:23.765
3307,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:27:21'), member1=None)",160,2024-08-07 07:05:23.765
3308,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:28:10'), member1=None)",158,2024-08-07 07:05:23.765
3309,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:29:03'), member1=None)",158,2024-08-07 07:05:23.765
3310,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:29:38'), member1=None)",160,2024-08-07 07:05:23.765
3311,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:30:01'), member1=None)",158,2024-08-07 07:05:23.765
3312,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:30:10'), member1=None)",158,2024-08-07 07:05:23.765
3313,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:33:34'), member1=None)",158,2024-08-07 07:05:23.765
3314,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:34:24'), member1=None)",158,2024-08-07 07:05:23.765
3315,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:41:10'), member1=None)",160,2024-08-07 07:05:23.765
3316,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:41:45'), member1=None)",158,2024-08-07 07:05:23.765
3317,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-26 00:42:16'), member1=None)",160,2024-08-07 07:05:23.765
3318,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:42:30'), member1=None)",160,2024-08-07 07:05:23.765
3319,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:44:41'), member1=None)",160,2024-08-07 07:05:23.765
3320,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:47:08'), member1=None)",158,2024-08-07 07:05:23.765
3321,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:49:38'), member1=None)",159,2024-08-07 07:05:23.765
3322,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:52:16'), member1=None)",158,2024-08-07 07:05:23.765
3323,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:53:39'), member1=None)",153,2024-08-07 07:05:23.765
3324,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:54:13'), member1=None)",160,2024-08-07 07:05:23.765
3325,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:56:31'), member1=None)",158,2024-08-07 07:05:23.765
3326,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:57:33'), member1=None)",160,2024-08-07 07:05:23.765
3327,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 00:58:01'), member1=None)",160,2024-08-07 07:05:23.765
3328,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 01:00:01'), member1=None)",159,2024-08-07 07:05:23.765
3329,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 01:01:49'), member1=None)",158,2024-08-07 07:05:23.765
3330,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 01:09:32'), member1=None)",160,2024-08-07 07:05:23.765
3331,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 01:12:47'), member1=None)",160,2024-08-07 07:05:23.765
3332,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 01:32:05'), member1=None)",154,2024-08-07 07:05:23.765
3333,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 02:37:15'), member1=None)",158,2024-08-07 07:05:23.765
3334,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 02:48:14'), member1=None)",158,2024-08-07 07:05:23.765
3335,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 02:49:10'), member1=None)",154,2024-08-07 07:05:23.765
3336,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:08:15'), member1=None)",158,2024-08-07 07:05:23.765
3337,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:15:56'), member1=None)",159,2024-08-07 07:05:23.765
3338,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:20:44'), member1=None)",158,2024-08-07 07:05:23.765
3339,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:24:49'), member1=None)",158,2024-08-07 07:05:23.765
3340,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:26:53'), member1=None)",160,2024-08-07 07:05:23.765
3341,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:27:55'), member1=None)",159,2024-08-07 07:05:23.765
3342,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-26 03:32:42'), member1=None)",140,2024-08-07 07:05:23.765
