tco_code,tco_labe,tco_ewallet,tco_vtc_code,tco_cent_sign,tco_chld_sign,tco_merc_sign,tco_revo_flag,tco_pre_paid_flag,tco_acqu_bank_sign,tco_issu_bank_sign,updated_at
10900,CARD OPPOSITION FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10901,SMS FEE,N,,,D,,A,A,,,2024-08-07 07:05:16.809
10998,FX Markup Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
11000,Interest Charge,N,,,D,,A,A,,,2024-08-07 07:05:16.809
11001,Compound Interest,N,,,D,,A,A,,,2024-08-07 07:05:16.809
11002,CHARGE REFUND,N,,,C,,A,A,,,2024-08-07 07:05:16.809
11005,Penality Interest,N,,,D,,A,,,,2024-08-07 07:05:16.809
12000,Advance Payment,N,,,C,,A,A,,,2024-08-07 07:05:16.809
12001,COLLECTION PAYMENT,N,,,C,,,,,,2024-08-07 07:05:16.809
12002,MOSAIC PAYMENT,N,,,C,,,,,,2024-08-07 07:05:16.809
12003,IL Payment,N,,,C,,,,,,2024-08-07 07:05:16.809
12004,Credit to Bank Account,N,,,C,,A,,,,2024-08-07 07:05:16.809
12005,FLUID PAYMENT,N,,,C,,,,,,2024-08-07 07:05:16.809
12006,SWIFT PAYMENT,N,,,C,,A,,,,2024-08-07 07:05:16.809
12007,Variation Credit Transaction,N,,,C,,A,,,,2024-08-07 07:05:16.809
12010,UG Test - Bitcoin Payment,N,,,C,,A,,,,2024-08-07 07:05:16.809
12014,Advance Payment Reversal,N,,,D,,A,,,,2024-08-07 07:05:16.809
12015,IVR PAYMENT,N,,,C,,,,,,2024-08-07 07:05:16.809
12016,DIRECT DEBIT PAYMENT,N,,,C,,A,,,,2024-08-07 07:05:16.809
12017,Real Time Payment,N,,,C,,A,,,,2024-08-07 07:05:16.809
12099,Bonus Point Reward,N,12.0,,C,,A,A,,,2024-08-07 07:05:16.809
12100,Real Time Payment Screen,N,,,C,,A,,,,2024-08-07 07:05:16.809
13000,CREDIT LIMIT CHANGE FEE,N,,,D,,A,N,,,2024-08-07 07:05:16.809
13001,CASH RELOAD (OTHER CREDIT),N,,,C,,A,N,,,2024-08-07 07:05:16.809
13002,Other Debit,N,10.0,,D,,A,A,,C,2024-08-07 07:05:16.809
13003,Credit Adjustement,N,,,C,,N,A,,,2024-08-07 07:05:16.809
13004,Debit Adjustement,N,,,D,,A,A,,,2024-08-07 07:05:16.809
13005,Merchant : Debit Transaction Adjustment,N,,,N,D,,,,,2024-08-07 07:05:16.809
13006,Merchant Debit Sales Draft Chargeback,N,,,,D,,,,,2024-08-07 07:05:16.809
13007,Merchant Debit Credit Voucher Chargeback Reversal,N,,,,D,,,,,2024-08-07 07:05:16.809
13008,Merchant Debit Cash Disbursements Chargeback,N,,,,D,,,,,2024-08-07 07:05:16.809
13009,Merchant Debit Sales Draft Reversal,N,,,,D,,,,,2024-08-07 07:05:16.809
13010,Merchant Debit Credit Voucher Representment,N,,,,D,,,,,2024-08-07 07:05:16.809
13011,Merchant Debit Cash Disbursements Reversal,N,,,,D,,,,,2024-08-07 07:05:16.809
13012,CASH RELOAD,N,,,C,,A,N,,,2024-08-07 07:05:16.809
13015,Credit to Bank Account,N,,,D,,A,,,,2024-08-07 07:05:16.809
13017,Advance Payment Reversal,N,,,D,,A,,,,2024-08-07 07:05:16.809
13030,Merchant Credit Transaction Adjustment,N,,,,C,,,,,2024-08-07 07:05:16.809
13031,Merchant Credit Sales Draft Chargeback Reversal,N,,,,C,,,,,2024-08-07 07:05:16.809
13032,Merchant Credit Credit Voucher Chargeback,N,,,,C,,,,,2024-08-07 07:05:16.809
13033,Merchant Credit Cash Disbursements Chargeback Reversal,N,,,,C,,,,,2024-08-07 07:05:16.809
13034,Merchant Credit Sales draft Representment,N,,,,C,,,,,2024-08-07 07:05:16.809
13035,Merchant Credit Credit Voucher Representment Reversal,N,,,,C,,,,,2024-08-07 07:05:16.809
13036,Merchant Credit Cash Disbursements Representment,N,,,,C,,,,,2024-08-07 07:05:16.809
13073,Prepaid Credit TopUp - WS.EGATE,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13083,Prepaid Credit Transfert - Mobile CH,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13084,Prepaid Debit Transfert - Mobile CH,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13088,Debit customer after creating of new card M,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13089,Initial Load - Mobile CH,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13091,Credit Adjustment - Portal Corp.,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13092,Debit Adjustment - Portal Corp.,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13093,Prepaid Credit TopUp - WebPortal CH,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13094,Prepaid Debit TopUp - WebPortal CH,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13095,Prepaid Credit Overdrawn,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13096,Prepaid Debit Overdrawn,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13097,Prepaid Overdrawn Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13098,Debit customer after creating of new card,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13099,Initial Load - WebPortal CH,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13100,Cardholder Debit Transaction Adjustment,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13101,Cardholder Debit Sales Draft Chargeback Reversal,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13102,Cardholder Debit Credit Voucher Chargeback,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13103,Cardholder Debit Cash Disbursements Chargeback Reversal,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13104,Cardholder Debit Sales draft Representment,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13105,Cardholder Debit Credit Voucher Representment Reversal,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13106,Cardholder Debit Cash Disbursements Representment,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13108,Installment,N,13.0,,D,C,A,N,,,2024-08-07 07:05:16.809
13109,EMI-Installment Interest,N,13.0,,D,C,A,N,,,2024-08-07 07:05:16.809
13110,Debit Transaction Migration,N,,,D,,A,,,C,2024-08-07 07:05:16.809
13150,Cardholder Credit Transaction Adjustment,N,,,C,,A,,,,2024-08-07 07:05:16.809
13151,Cardholder Credit Sales Draft Chargeback,N,,,C,,A,,,,2024-08-07 07:05:16.809
13152,Cardholder Credit Credit Voucher Chargeback Reversal,N,,,C,,A,,,,2024-08-07 07:05:16.809
13153,Cardholder Credit Cash Disbursements Chargeback,N,,,C,,A,,,,2024-08-07 07:05:16.809
13154,Cardholder Credit Sales Draft Reversal,N,,,C,,A,,,,2024-08-07 07:05:16.809
13155,Cardholder Credit Credit Voucher Representment,N,,,C,,A,,,,2024-08-07 07:05:16.809
13156,Cardholder Credit Cash Disbursements Reversal,N,,,C,,A,,,,2024-08-07 07:05:16.809
13157,Credit Transaction Migration,N,,,C,,A,,,,2024-08-07 07:05:16.809
13193,Prepaid Credit TRSF - EBANKING,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13194,Prepaid Debit TRSF - EBANKING,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
13293,Prepaid Credit CC TRSF - EBANKING,N,10.0,,C,,N,A,,,2024-08-07 07:05:16.809
13294,Prepaid Debit CC TRSF - EBANKING,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
14000,REFUND,N,,,C,D,A,A,,,2024-08-07 07:05:16.809
14001,Loan Refund,N,,,D,,,,,,2024-08-07 07:05:16.809
14002,Quasi Cash Refund,N,,,,,,,,,2024-08-07 07:05:16.809
15000,Purchase Chargeback,N,15.0,,C,D,A,A,,,2024-08-07 07:05:16.809
15002,Purchase Chargeback,N,15.0,,C,D,A,A,,,2024-08-07 07:05:16.809
16000,Credit Voucher Chargeback,N,16.0,,D,C,A,A,,,2024-08-07 07:05:16.809
17000,Cash Disbursements Chargeback,N,17.0,,C,D,A,A,,,2024-08-07 07:05:16.809
17001,Cash Disbursements Chargeback,N,17.0,,C,D,A,A,,,2024-08-07 07:05:16.809
17002,Cash Advance Manual Chargeback,N,17.0,,C,D,A,A,,,2024-08-07 07:05:16.809
18000,Redemption,N,,,D,,,,,,2024-08-07 07:05:16.809
18001,Pre-Paid Redemption,N,,,D,,N,A,,,2024-08-07 07:05:16.809
19000,Pre-paid Initial Load,N,,,C,,,,,,2024-08-07 07:05:16.809
19001,Pre-Paid Reload,N,,,C,,N,A,,,2024-08-07 07:05:16.809
19005,Pre-Paid Merchant Payment,N,,,C,,N,A,,,2024-08-07 07:05:16.809
19006,Pre-Paid Merchant Payment Debit,N,,,D,,N,A,,,2024-08-07 07:05:16.809
20000,General Purpose Fee Credit,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20001,Fees Disbursement : Center Commission,N,20.0,,,,,,,,2024-08-07 07:05:16.809
20002,Bank Commission Fee Refund,N,20.0,,,,A,,,,2024-08-07 07:05:16.809
20003,Cardholder Commission Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20004,Fees Disbursement : Merchant Commission,N,20.0,,,,,,,,2024-08-07 07:05:16.809
20020,Credit Application Fee Refund,N,20.0,,C,,A,N,,,2024-08-07 07:05:16.809
20021,Airline Cash back,N,20.0,,C,,N,N,,,2024-08-07 07:05:16.809
20022,Adjustment Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20023,Currency Conversion Fee Refund,N,10.0,,C,,A,A,,,2024-08-07 07:05:16.809
20100,Card Personalisation Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20101,Card replacement Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20102,Pin Calculation Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20103,Fees Disbursement : Card Renew Fee,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20104,Fees Disbursement : Card Insurance Fee,N,20.0,,C,,N,A,,,2024-08-07 07:05:16.809
20105,Fees Disbursement : Card Miscellaneous Fee,N,20.0,,C,,N,A,,,2024-08-07 07:05:16.809
20106,CARD MEMBERSHIP FEE REFUND,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20107,Fees Disbursement: Pre-Paid Card Initial Load Fee,N,20.0,,D,,,,,,2024-08-07 07:05:16.809
20108,Fees Disbursement: Pre-Paid Card Reload Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20109,Fees Disbursement: Pre-Paid Card redemption Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20110,Fees Disbursement: Pre-Paid Card Overline Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20111,Fees Disbursement: Pre-Paid Card Inactivity Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20112,Fees Disbursement: Pre-Paid Card returned debit Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20114,Miscellaneous Credit,N,20.0,,C,,A,,,,2024-08-07 07:05:16.809
20115,Change Limit Fee Refund,N,20.0,,C,,A,,,,2024-08-07 07:05:16.809
20120,Late payment Fee - Refund -,N,20.0,,C,,A,N,,,2024-08-07 07:05:16.809
20121,Credit Unpaid Term Fee Refund,N,20.0,,C,,A,N,,,2024-08-07 07:05:16.809
20122,Overline Fee - Refund -,N,20.0,,C,,A,N,,,2024-08-07 07:05:16.809
20123,Fees Disbursement: Credit Insurance Fee,N,20.0,,C,,N,N,,,2024-08-07 07:05:16.809
20124,Fees Disbursement : Credit Miscellaneous  Fee,N,20.0,,C,,N,N,,,2024-08-07 07:05:16.809
20125,Fees Disbursement : Credit Miscellaneous Transaction Fee,N,20.0,,C,,N,N,,,2024-08-07 07:05:16.809
20126,Credit Administrative Status Fee Refund,N,20.0,,C,,A,N,,,2024-08-07 07:05:16.809
20127,Fees Disbursement : Document Deposit Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20128,Misused Fee Refund,N,20.0,,C,,A,,,,2024-08-07 07:05:16.809
20129,DHL Charge Refund,N,20.0,,C,,A,,,,2024-08-07 07:05:16.809
20130,Card Reported Lost Refund,N,20.0,,C,,A,,,,2024-08-07 07:05:16.809
20218,Fees Disbursement : Check Deposit Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20219,Fees Disbursement : Authentication Request Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20220,Balance Inquiry Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20221,Address Verification Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20222,Fees Disbursement : Telecode Verification Fee,N,20.0,,C,,N,A,,,2024-08-07 07:05:16.809
20223,Fees Disbursement : RIB Request Fee,N,20.0,,C,,N,A,,,2024-08-07 07:05:16.809
20224,Account List Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20225,ATM Statement Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20226,Statement Request Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20227,Short Statement Request Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20228,Fees Disbursement : Checkbook Request Fee,N,20.0,,C,,N,A,,,2024-08-07 07:05:16.809
20229,Fees Disbursement : Account Transfer Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20230,Fees Disbursement : Account Verification (ePay) Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20231,PIN Change Request Fee Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20232,Fees Disbursement : Loan Request Fee,N,20.0,,C,,,,,,2024-08-07 07:05:16.809
20233,Fees Disbursement : Guarranty Cheque Fee,N,20.0,,C,,N,A,,,2024-08-07 07:05:16.809
20234,Travel Insurance - Refund,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20235,Fees Disbursement : Express Delivery Fee,N,10.0,,C,,Y,Y,,C,2024-08-07 07:05:16.809
20236,Fees Collection : New Design Fee,N,10.0,,C,,Y,Y,,C,2024-08-07 07:05:16.809
20244,AirPort Lounge - Refund -,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20254,Travel Benefit - Refund -,N,20.0,,C,,A,A,,,2024-08-07 07:05:16.809
20300,Establishment Fee Reversal,N,,,C,,A,N,,,2024-08-07 07:05:16.809
20301,Merchant Establishment Fee Reversal,N,20.0,,,C,A,N,,,2024-08-07 07:05:16.809
21000,Non-Finnacial Transaction,N,,,,,A,A,,,2024-08-07 07:05:16.809
21001,Document Deposit,N,,,,,A,A,,,2024-08-07 07:05:16.809
21002,Check Deposit,N,,,,,A,A,,,2024-08-07 07:05:16.809
21003,Authentication Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21004,Balance Inquiry,N,,,,,A,A,,,2024-08-07 07:05:16.809
21005,Address Verification,N,,,,,A,A,,,2024-08-07 07:05:16.809
21006,Telecode Verification,N,,,,,A,A,,,2024-08-07 07:05:16.809
21007,RIB Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21008,Account List,N,,,,,A,A,,,2024-08-07 07:05:16.809
21009,ATM Statement,N,,,,,A,A,,,2024-08-07 07:05:16.809
21010,Statement Request,N,,,D,,N,A,,,2024-08-07 07:05:16.809
21011,Short Statement Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21012,Checkbook Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21013,Account Transfer,N,,,D,,A,A,,,2024-08-07 07:05:16.809
21014,Account Verification (ePay),N,,,,,A,A,,,2024-08-07 07:05:16.809
21015,PIN Change Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21016,Loan Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21017,Check Verification,N,,,,,A,A,,,2024-08-07 07:05:16.809
21018,Eurocheck,N,,,,,A,A,,,2024-08-07 07:05:16.809
21019,Traveler's Check,N,,,,,A,A,,,2024-08-07 07:05:16.809
21020,Letter of Credit,N,,,,,A,A,,,2024-08-07 07:05:16.809
21021,Card Capture,N,,,,,A,A,,,2024-08-07 07:05:16.809
21022,Certificate Transaction Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21023,Alarm Transaction,N,,,,,A,A,,,2024-08-07 07:05:16.809
21024,E-commerce Cardholder Certificate Request,N,,,,,A,A,,,2024-08-07 07:05:16.809
21025,Unterminated transaction,N,,,,,A,A,,,2024-08-07 07:05:16.809
21044,Salary Balance Inquiry,N,,,,,A,A,,,2024-08-07 07:05:16.809
21045,Salary Fees Inquiry,N,,,,,A,A,,,2024-08-07 07:05:16.809
21046,Bill Inquiry,N,,,,,A,A,,,2024-08-07 07:05:16.809
21050,MPOS Balance Inquiry,N,,C,D,,A,A,,C,2024-08-07 07:05:16.809
22000,Guarantee,N,,,,,A,A,,,2024-08-07 07:05:16.809
22001,Check Guarantee,N,,,D,,A,A,,,2024-08-07 07:05:16.809
22002,Check Deposit Guarantee,N,,,,,A,A,,,2024-08-07 07:05:16.809
25000,Purchase Reversal,N,25.0,,C,D,A,A,,,2024-08-07 07:05:16.809
25002,SALES DRAFT REVERSAL,N,25.0,,C,D,A,A,,,2024-08-07 07:05:16.809
26000,CREDIT VOUCHER REVERSALl,N,26.0,,D,C,A,N,,,2024-08-07 07:05:16.809
27000,Cash Disbursements Reversal,N,27.0,,C,D,A,A,,,2024-08-07 07:05:16.809
27001,Cash Advance Reversal,N,27.0,,C,D,A,A,,,2024-08-07 07:05:16.809
27002,Cash Advance Manual Reversal,N,27.0,,C,D,A,A,,,2024-08-07 07:05:16.809
28000,MasterCard Credit,N,,,C,,A,A,,,2024-08-07 07:05:16.809
35000,CHARGEBACK REVERSAL (Sales),N,35.0,,D,C,A,A,,,2024-08-07 07:05:16.809
36000,Credit Voucher Chargeback Reversal,N,36.0,,C,D,A,N,,,2024-08-07 07:05:16.809
37000,CHARGEBACK REVERSAL (Cash),N,37.0,,D,C,A,A,,,2024-08-07 07:05:16.809
37001,CHARGEBACK REVERSAL (Cash Advance),N,37.0,,D,C,A,A,,,2024-08-07 07:05:16.809
37002,CHARGEBACK REVERSAL (Cash Advance Manual),N,37.0,,D,C,A,A,,,2024-08-07 07:05:16.809
40001,CREDIT REVOLVING CASH BACK,N,40.0,,C,,A,N,,,2024-08-07 07:05:16.809
40036,EMI Transaction Reversal,N,40.0,,C,D,A,N,,,2024-08-07 07:05:16.809
