id,channel,is_used,module_id,booking_id,feature_id,merchant_id,request_type,requested_date,customer_login_id,txn_initiate_type,accessible_channel_id,updated_at
124,MOBILE,N,,65YctZEXNArTuYQ279CE/GFN7DExQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-28 00:12:00'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
125,WEB,N,,Y+ZGrI8skPmirdU7q+DVhHFF+IyOg==,27.0,,NORMAL,"Row(member0=Timestamp('2022-03-28 01:11:18'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
126,WEB,Y,,uimzZnAOtMQXScOlb6OSJNogBA8Ww==,5.0,,NORMAL,"Row(member0=Timestamp('2022-03-28 01:55:07'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
127,WEB,Y,,2cN/+T4YiUtFWQNF3Q4sJgqR4MddA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-03-28 02:03:13'), member1=None)",170,,2.0,2024-08-07 07:05:28.893
128,WEB,Y,,Gjm1hi5zh469cKSpnqYINTuVWcKRw==,5.0,,NORMAL,"Row(member0=Timestamp('2022-03-28 02:05:34'), member1=None)",170,,2.0,2024-08-07 07:05:28.893
129,MOBILE,N,,Wixg4ramlkbcdJ3rN+1vlOx9iuRDQ==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-03-28 02:33:32'), member1=None)",171,,2.0,2024-08-07 07:05:28.893
130,MOBILE,N,,VaUm6pxIPSm3i/fGb2EUx2qFPAn1w==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-03-28 02:34:10'), member1=None)",171,,2.0,2024-08-07 07:05:28.893
131,WEB,Y,,h3dSfZFzYeuFPZ9xhy7bxsYCwYciQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-28 02:39:28'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
132,WEB,Y,,3Nn4da7RXcLiaKB9lXjTwEL2o/qOQ==,4.0,23.0,NORMAL,"Row(member0=Timestamp('2022-03-28 02:44:11'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
133,WEB,Y,,WnxNZdiRhdlhdOjspydqMD61BsjEQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 02:47:46'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
134,WEB,Y,,h=zKHb0ox+vCCCSX+FOawW3VKrf4g==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 02:49:17'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
135,WEB,Y,,srR=b4mioiuUHAULpFDnQKiEIFycA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 03:07:47'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
136,MOBILE,N,,XPiLCF5/xdMSx/i9qEDcbl6YaYoVA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-07 03:15:10'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
137,WEB,Y,,umjUdPLnndFXYiDnZuw1rYDtmdiIw==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 03:19:48'), member1=None)",173,,2.0,2024-08-07 07:05:28.893
138,WEB,Y,,tdahjLKUzpmX0ZIbXiDCih1tXwTzA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-07 03:27:14'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
139,WEB,Y,,WHJfvhYLGdNHaWww78HNqp1wKmgWA==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-07 04:10:24'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
140,WEB,Y,,dR+kOWhgmC4imshOjqTRMX/IJZ6iQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 04:13:34'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
141,WEB,Y,,vd+4Xo5ajJOcIZ4pcPhnw1leSWIcw==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 05:10:55'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
142,WEB,Y,,7Q5+T=BL9DOWKrjWDlzGZUr86azpw==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 05:11:35'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
143,WEB,Y,,5FxnjjeWDFNB9eI6itLufAF3jfryA==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 05:31:48'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
144,WEB,Y,,9l3nWKHmQxpvWBAyh+xw6/+M/xVDA==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-07 06:04:28'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
145,WEB,Y,,JzievWabsBLh0XeiRWqF3FBQCslCQ==,4.0,2.0,NORMAL,"Row(member0=Timestamp('2022-04-07 06:09:29'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
146,WEB,N,,gjU5Ur4FuwXPmTx8hd78A1hvSTDFw==,4.0,29.0,NORMAL,"Row(member0=Timestamp('2022-04-07 06:13:04'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
147,MOBILE,Y,,AvFeUUJNVfwLUxxIlEZ0QAUiQ4wAw==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-07 17:25:02'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
148,MOBILE,Y,,OWNBjqI/yJ85TCkZ+Hv6y2eZqjacA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-07 17:57:04'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
149,WEB,Y,,3ZAkgsQQyd5FqCtMu0QYpp36NlIiQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 00:41:24'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
150,MOBILE,Y,,MhFHzAtz959ZCKYj3JgyNp681E2aw==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 01:44:13'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
151,MOBILE,Y,,CYlEkQ/1wpnvWyd5+syhbxrctJqHA==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 01:56:39'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
152,MOBILE,N,,3G9kPXnvUfkBGAJmtTKow/AMyNuaQ==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-08 02:50:46'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
153,MOBILE,Y,,d3lVh7/vEyA2k6h4oA8LrlYAVr2fA==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-08 04:04:57'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
154,MOBILE,N,,Rj8jzgdHqSFxCPSwftDUuV7iHTKMA==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-08 04:05:48'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
155,MOBILE,Y,,HJ5EILxTLX2j+SfI2C8mPvJ/JbgWA==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 04:36:30'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
156,MOBILE,Y,,eM619PW+3AFaFBJYEYF74VckQRBXw==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 04:39:02'), member1=None)",163,,2.0,2024-08-07 07:05:28.893
157,WEB,Y,,,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 05:08:54'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
158,WEB,Y,,5bAcZNKr/nOFbOqebzAVHuWHXIOcA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-08 05:10:36'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
159,WEB,N,,fcFNxfgzlwYPbF4oGlfVNahuJ17Vw==,4.0,29.0,NORMAL,"Row(member0=Timestamp('2022-04-08 05:21:18'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
160,WEB,N,,ert3Y60yumruG8p8ANqc444n5uObQ==,4.0,29.0,NORMAL,"Row(member0=Timestamp('2022-04-08 05:21:28'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
161,MOBILE,Y,,YeT3J/z0rpSsMgLXxc20Um7oanyZw==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-08 17:25:06'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
162,MOBILE,Y,,GzMhksLv7tkQQAj5jAy3f+itagV3w==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-08 17:57:02'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
163,MOBILE,Y,,VTnqGhhxBX84ex2Rd/prxF+C43RhQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-09 17:25:04'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
164,MOBILE,Y,,fzJZ4lDRDWc+MqXfBPpu1KrCU2GhQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-09 17:57:04'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
165,MOBILE,Y,,p=7jzgduSewQS5/Vejf2EKZwcsG6w==,4.0,2.0,NORMAL,"Row(member0=Timestamp('2022-04-09 23:20:43'), member1=None)",146,,2.0,2024-08-07 07:05:28.893
166,WEB,N,,hJsEIFCDEOVev7FpOkNUbd5LXp/Eg==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-10 01:17:54'), member1=None)",188,,2.0,2024-08-07 07:05:28.893
167,WEB,Y,,JvQTDEzl/vnoZO7FG2msQhPRqtq4g==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-10 01:43:49'), member1=None)",188,,2.0,2024-08-07 07:05:28.893
168,MOBILE,Y,,PjUWHHWZL1xjcHVmtK9H7fR5nTeng==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-10 17:57:02'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
169,MOBILE,Y,,v8eU4FgwRzh3OeSzlW5f9LxabFyfA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 04:32:01'), member1=None)",191,,2.0,2024-08-07 07:05:28.893
170,MOBILE,Y,,zxmpaNpFH0ovJn3cArmWsh0dxSaYQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 04:38:20'), member1=None)",194,,2.0,2024-08-07 07:05:28.893
171,MOBILE,Y,,/3YYzv1mzAiFedr7aR2ArAEMxVWPA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 04:40:21'), member1=None)",194,,2.0,2024-08-07 07:05:28.893
172,MOBILE,Y,,/R+y+3Fx2i5y7g3eIvjxyjgJaIowA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 05:57:30'), member1=None)",160,,2.0,2024-08-07 07:05:28.893
173,MOBILE,Y,,Wxh8r1XGgI+V2HrHQB8RQnGiXkDCQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 06:00:11'), member1=None)",160,,2.0,2024-08-07 07:05:28.893
174,MOBILE,Y,,nFqdNMgJNPDvEdSVpGgUelHh6c5FQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 17:25:06'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
175,MOBILE,Y,,FlBmMXhcHH2JUuFmzr5mLJEW9TX1w==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-11 17:57:06'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
176,MOBILE,Y,,XTXc4bRYRiIKvvt+lTxGXtgDfNmYQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-11 19:46:03'), member1=None)",194,,2.0,2024-08-07 07:05:28.893
177,MOBILE,Y,,JAPGSP0gHWmBtl9yPdG3w+BDNIrfw==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 00:09:21'), member1=None)",191,,2.0,2024-08-07 07:05:28.893
178,WEB,N,,Ag2nnqOR9tquOqtF7xuYpH8ousH8w==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 00:32:31'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
179,WEB,Y,,zGZGl9FveE0Zk3UP+jXjgMK/EH1/Q==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 00:36:34'), member1=None)",196,,2.0,2024-08-07 07:05:28.893
180,WEB,Y,,Dc4/qmli+Yb4Z1sBYSeGUqc2XVWUA==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 00:57:37'), member1=None)",196,,2.0,2024-08-07 07:05:28.893
181,WEB,N,,y6PSM=KNlCfLtNqYWcPXza45l+MWQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-12 01:07:51'), member1=None)",160,,2.0,2024-08-07 07:05:28.893
182,WEB,N,,gpTGoqeyqdzlIO53J2VV2PhdD+wLQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 01:30:14'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
183,WEB,N,,egCpf6px54uyrtNi/ApMWaEQh8lVg==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 03:49:25'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
184,WEB,Y,,8NQJA7UIfRL6oxzVyxlzaJOUgaa9w==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:03:10'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
185,MOBILE,Y,,PAXIPoN7CsqESGNF31Zo6RtQS4PSA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:07:40'), member1=None)",160,,2.0,2024-08-07 07:05:28.893
186,WEB,Y,,IDlDUEzWaga1HHuSKjF9TuIIdeanA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:13:48'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
187,WEB,Y,,PnsmDFgBdfYS9HrcfHKmY1+epEp4g==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:17:07'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
188,WEB,Y,,kTOOxvYCX4dMRn21xRNIwX+XPDd+A==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:20:49'), member1=None)",196,,2.0,2024-08-07 07:05:28.893
189,WEB,Y,,6lOnFo/m/9W+IBl3DOCraq7rAuSkg==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:21:25'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
190,WEB,Y,,HrNF/xc7/pH905NdQtkQuoU7Y0QcQ==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:28:41'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
191,WEB,Y,,YkAUjM16cPyZCsLWcIKZ3HrqHw12A==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:38:12'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
192,WEB,N,,nE5U=0petH/tzAWSZOYkE45XipBdA==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:43:37'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
193,WEB,Y,,zVNmcvYeIUIMFeNNZDu4KLPrvKoEg==,30.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:47:35'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
194,WEB,Y,,d5UEe9XSJHpYLOBjxjA+kCu2yTmPw==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:49:17'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
195,WEB,Y,,u+4N/0ZRKcrdZEf7ne2S5a+cW59dA==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:51:14'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
196,WEB,Y,,bCUlB2iozaYybWhxn/GW0JzAH5mLQ==,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:52:27'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
197,WEB,N,,,27.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:53:04'), member1=None)",161,,,2024-08-07 07:05:28.893
198,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:59:35'), member1=None)",154,,,2024-08-07 07:05:28.893
199,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 04:59:35'), member1=None)",154,,,2024-08-07 07:05:28.893
200,WEB,Y,,SR4yRmYU0rSxzxKSUyHjOCMQW+x8w==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:01:07'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
201,WEB,N,,ZAhXU13cZwZvyw6mlCC5eDUMbcfwQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:02:18'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
202,WEB,N,,cZdQG36Gy6E6uBoQ7FqtDl3qVhtWw==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:02:37'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
203,WEB,N,,LVXBoLx4IcBa/0gGfAXH8PhZk8Scg==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:02:51'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
204,WEB,N,,otM3MEZWkpLyksl5dehNf8+mNTZ9Q==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:03:11'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
205,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:03:15'), member1=None)",191,,,2024-08-07 07:05:28.893
206,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:03:15'), member1=None)",191,,,2024-08-07 07:05:28.893
207,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:04:32'), member1=None)",196,,,2024-08-07 07:05:28.893
208,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:04:32'), member1=None)",196,,,2024-08-07 07:05:28.893
209,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:06:40'), member1=None)",161,,,2024-08-07 07:05:28.893
210,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:06:40'), member1=None)",161,,,2024-08-07 07:05:28.893
211,WEB,Y,,GVPzzStjr2XnSH14IQlCjkXlsc09g==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:08:41'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
212,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:15:56'), member1=None)",191,,,2024-08-07 07:05:28.893
213,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 05:15:56'), member1=None)",191,,,2024-08-07 07:05:28.893
214,WEB,N,,EQV7rjMmMDf17KZI26Q+NUl7WGXGA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-12 05:33:13'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
215,MOBILE,Y,,eM7iyUKGO1D4n7rYhd74f/ckebwjA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 17:25:05'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
216,MOBILE,Y,,ZjSMq79RtXBRTZmcN5j8Ib+1tUPrA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-12 17:57:05'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
217,MOBILE,Y,,zFi+jIKO3Cax8PNhf4rnY8WvA4e3w==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 19:46:02'), member1=None)",194,,2.0,2024-08-07 07:05:28.893
218,MOBILE,Y,,UiBRlFHt5j6UcnKuagiS0Jne89qxw==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-12 23:03:34'), member1=None)",170,,2.0,2024-08-07 07:05:28.893
219,WEB,Y,,sOOnY6aFektVXtwnzvVIIW3f9baGg==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-12 23:28:13'), member1=None)",170,,2.0,2024-08-07 07:05:28.893
220,MOBILE,N,,TZxjJNtYEUTZViMO551uWeO2VdDWA==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-13 00:38:25'), member1=None)",191,,2.0,2024-08-07 07:05:28.893
221,MOBILE,N,,cpkmFtNa6JGhlR1TJh8p6f2HSQJUw==,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-13 00:49:57'), member1=None)",191,,2.0,2024-08-07 07:05:28.893
222,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-13 01:03:42'), member1=None)",191,,,2024-08-07 07:05:28.893
223,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-13 01:03:42'), member1=None)",191,,,2024-08-07 07:05:28.893
224,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-13 01:07:12'), member1=None)",219,,,2024-08-07 07:05:28.893
225,MOBILE,N,,,5.0,,NORMAL,"Row(member0=Timestamp('2022-04-13 01:07:12'), member1=None)",219,,,2024-08-07 07:05:28.893
226,MOBILE,Y,,hnfIcRLJS4ytRT1X6Js2Ve6toFXLQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-04-13 01:09:45'), member1=None)",219,,2.0,2024-08-07 07:05:28.893
