id,active,added_by,added_date,migration_id,login_blocked,login_channel,last_login_date,request_attempt,last_modified_by,login_block_date,login_block_mode,customer_login_id,last_modified_date,login_block_remarks,accessible_channel_id,old_login_access_channel_id,updated_at
263,Y,1,"Row(member0=Timestamp('2022-03-24 00:14:22'), member1=None)",,N,,,0,4.0,,,153,"Row(member0=Timestamp('2022-10-31 16:05:26'), member1=None)",,1,,2024-08-07 07:05:24.452
264,Y,1,"Row(member0=Timestamp('2022-03-24 00:14:22'), member1=None)",,N,,,0,4.0,,,153,"Row(member0=Timestamp('2022-10-31 16:05:26'), member1=None)",,2,,2024-08-07 07:05:24.452
265,Y,1,"Row(member0=Timestamp('2022-03-24 00:51:59'), member1=None)",,N,,,2,,,,154,,,1,,2024-08-07 07:05:24.452
266,Y,1,"Row(member0=Timestamp('2022-03-24 00:51:59'), member1=None)",,N,,,0,,,,154,,,2,,2024-08-07 07:05:24.452
267,Y,1,"Row(member0=Timestamp('2022-03-24 01:15:13'), member1=None)",,N,,,0,,,,155,,,1,,2024-08-07 07:05:24.452
268,Y,1,"Row(member0=Timestamp('2022-03-24 01:15:13'), member1=None)",,N,,,0,,,,155,,,2,,2024-08-07 07:05:24.452
269,Y,1,"Row(member0=Timestamp('2022-03-24 01:58:34'), member1=None)",,N,,,0,,,,156,,,1,,2024-08-07 07:05:24.452
270,Y,1,"Row(member0=Timestamp('2022-03-24 01:58:34'), member1=None)",,N,,,0,,,,156,,,2,,2024-08-07 07:05:24.452
271,Y,1,"Row(member0=Timestamp('2022-03-24 03:36:11'), member1=None)",,N,,,0,,,,157,,,1,,2024-08-07 07:05:24.452
272,Y,1,"Row(member0=Timestamp('2022-03-24 03:36:11'), member1=None)",,N,,,0,,,,157,,,2,,2024-08-07 07:05:24.452
273,Y,1,"Row(member0=Timestamp('2022-03-24 23:02:01'), member1=None)",,N,,,0,,,,158,,,1,,2024-08-07 07:05:24.452
274,Y,1,"Row(member0=Timestamp('2022-03-24 23:02:01'), member1=None)",,N,,,0,,"Row(member0=Timestamp('2022-03-26 00:45:36'), member1=None)",,158,,,2,,2024-08-07 07:05:24.452
275,Y,1,"Row(member0=Timestamp('2022-03-24 23:07:11'), member1=None)",,N,,,0,,,,159,,,1,,2024-08-07 07:05:24.452
276,Y,1,"Row(member0=Timestamp('2022-03-24 23:07:11'), member1=None)",,N,,,0,,,,159,,,2,,2024-08-07 07:05:24.452
277,Y,1,"Row(member0=Timestamp('2022-03-25 23:32:12'), member1=None)",,N,,,0,,,,160,,,1,,2024-08-07 07:05:24.452
278,Y,1,"Row(member0=Timestamp('2022-03-25 23:32:12'), member1=None)",,N,,,0,,"Row(member0=Timestamp('2023-01-31 10:58:58'), member1=None)",,160,,,2,,2024-08-07 07:05:24.452
279,Y,1,"Row(member0=Timestamp('2022-03-26 04:52:29'), member1=None)",,N,,,0,9.0,,,161,"Row(member0=Timestamp('2022-04-12 00:56:20'), member1=None)",,1,,2024-08-07 07:05:24.452
280,Y,1,"Row(member0=Timestamp('2022-03-26 04:52:29'), member1=None)",,N,,,0,9.0,,,161,"Row(member0=Timestamp('2022-04-12 00:56:20'), member1=None)",,2,,2024-08-07 07:05:24.452
281,Y,1,"Row(member0=Timestamp('2022-03-26 05:01:30'), member1=None)",,N,,,0,,,,162,,,1,,2024-08-07 07:05:24.452
282,Y,1,"Row(member0=Timestamp('2022-03-26 05:01:30'), member1=None)",,N,,,0,,,,162,,,2,,2024-08-07 07:05:24.452
283,Y,1,"Row(member0=Timestamp('2022-03-27 23:17:56'), member1=None)",,N,,,0,,,,163,,,1,,2024-08-07 07:05:24.452
284,Y,1,"Row(member0=Timestamp('2022-03-27 23:17:56'), member1=None)",,N,,,0,,,,163,,,2,,2024-08-07 07:05:24.452
285,Y,1,"Row(member0=Timestamp('2022-03-28 01:27:14'), member1=None)",,N,,,0,,,,164,,,1,,2024-08-07 07:05:24.452
286,Y,1,"Row(member0=Timestamp('2022-03-28 01:27:14'), member1=None)",,N,,,0,,,,164,,,2,,2024-08-07 07:05:24.452
287,Y,1,"Row(member0=Timestamp('2022-03-28 01:34:34'), member1=None)",,N,,,0,,,,165,,,1,,2024-08-07 07:05:24.452
288,Y,1,"Row(member0=Timestamp('2022-03-28 01:34:34'), member1=None)",,N,,,1,,,,165,,,2,,2024-08-07 07:05:24.452
289,Y,1,"Row(member0=Timestamp('2022-03-28 01:35:47'), member1=None)",,N,,,0,,,,166,,,1,,2024-08-07 07:05:24.452
290,Y,1,"Row(member0=Timestamp('2022-03-28 01:35:47'), member1=None)",,N,,,0,,,,166,,,2,,2024-08-07 07:05:24.452
291,Y,1,"Row(member0=Timestamp('2022-03-28 01:36:00'), member1=None)",,N,,,0,,,,167,,,1,,2024-08-07 07:05:24.452
292,Y,1,"Row(member0=Timestamp('2022-03-28 01:36:00'), member1=None)",,N,,,0,,,,167,,,2,,2024-08-07 07:05:24.452
293,Y,1,"Row(member0=Timestamp('2022-03-28 01:42:54'), member1=None)",,N,,,0,,,,168,,,1,,2024-08-07 07:05:24.452
294,Y,1,"Row(member0=Timestamp('2022-03-28 01:42:54'), member1=None)",,N,,,0,,,,168,,,2,,2024-08-07 07:05:24.452
295,Y,1,"Row(member0=Timestamp('2022-03-28 01:44:25'), member1=None)",,N,,,0,,,,169,,,1,,2024-08-07 07:05:24.452
296,Y,1,"Row(member0=Timestamp('2022-03-28 01:44:25'), member1=None)",,N,,,1,,,,169,,,2,,2024-08-07 07:05:24.452
297,Y,9,"Row(member0=Timestamp('2022-03-28 01:58:49'), member1=None)",,N,,,0,,,,170,,,1,,2024-08-07 07:05:24.452
298,Y,9,"Row(member0=Timestamp('2022-03-28 01:58:49'), member1=None)",,N,,,4,,,,170,,,2,,2024-08-07 07:05:24.452
299,Y,1,"Row(member0=Timestamp('2022-03-28 02:27:27'), member1=None)",,N,,,3,,,,171,,,1,,2024-08-07 07:05:24.452
300,Y,1,"Row(member0=Timestamp('2022-03-28 02:27:27'), member1=None)",,N,,,0,,,,171,,,2,,2024-08-07 07:05:24.452
301,Y,1,"Row(member0=Timestamp('2022-04-07 03:09:39'), member1=None)",,N,,,0,,,,172,,,1,,2024-08-07 07:05:24.452
302,Y,1,"Row(member0=Timestamp('2022-04-07 03:09:39'), member1=None)",,N,,,0,,,,172,,,2,,2024-08-07 07:05:24.452
303,Y,1,"Row(member0=Timestamp('2022-04-07 03:19:15'), member1=None)",,N,,,0,,,,173,,,1,,2024-08-07 07:05:24.452
304,Y,1,"Row(member0=Timestamp('2022-04-07 03:19:15'), member1=None)",,N,,,0,,,,173,,,2,,2024-08-07 07:05:24.452
305,Y,1,"Row(member0=Timestamp('2022-04-07 03:37:03'), member1=None)",,N,,,0,,,,174,,,1,,2024-08-07 07:05:24.452
306,Y,1,"Row(member0=Timestamp('2022-04-07 03:37:03'), member1=None)",,N,,,0,,,,174,,,2,,2024-08-07 07:05:24.452
307,Y,1,"Row(member0=Timestamp('2022-04-07 05:44:58'), member1=None)",,N,,,0,,,,175,,,1,,2024-08-07 07:05:24.452
308,Y,1,"Row(member0=Timestamp('2022-04-07 05:44:58'), member1=None)",,N,,,0,,,,175,,,2,,2024-08-07 07:05:24.452
309,Y,1,"Row(member0=Timestamp('2022-04-07 10:27:45'), member1=None)",,N,,,0,,,,176,,,1,,2024-08-07 07:05:24.452
310,Y,1,"Row(member0=Timestamp('2022-04-07 10:27:45'), member1=None)",,N,,,0,,,,176,,,2,,2024-08-07 07:05:24.452
311,Y,1,"Row(member0=Timestamp('2022-04-07 23:06:13'), member1=None)",,N,,,0,,,,177,,,1,,2024-08-07 07:05:24.452
312,Y,1,"Row(member0=Timestamp('2022-04-07 23:06:13'), member1=None)",,N,,,0,,,,177,,,2,,2024-08-07 07:05:24.452
313,Y,1,"Row(member0=Timestamp('2022-04-07 23:10:08'), member1=None)",,N,,,0,,,,178,,,1,,2024-08-07 07:05:24.452
314,Y,1,"Row(member0=Timestamp('2022-04-07 23:10:08'), member1=None)",,N,,,0,,,,178,,,2,,2024-08-07 07:05:24.452
315,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:23'), member1=None)",,N,,,0,,,,179,,,1,,2024-08-07 07:05:24.452
316,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:23'), member1=None)",,N,,,0,,,,179,,,2,,2024-08-07 07:05:24.452
317,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:23'), member1=None)",,N,,,0,,,,180,,,1,,2024-08-07 07:05:24.452
318,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:23'), member1=None)",,N,,,0,,,,180,,,2,,2024-08-07 07:05:24.452
319,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:24'), member1=None)",,N,,,0,,,,181,,,1,,2024-08-07 07:05:24.452
320,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:24'), member1=None)",,N,,,0,,,,181,,,2,,2024-08-07 07:05:24.452
321,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:24'), member1=None)",,N,,,0,,,,182,,,1,,2024-08-07 07:05:24.452
322,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:24'), member1=None)",,N,,,0,,,,182,,,2,,2024-08-07 07:05:24.452
323,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:24'), member1=None)",,N,,,0,,,,183,,,1,,2024-08-07 07:05:24.452
324,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:24'), member1=None)",,N,,,0,,,,183,,,2,,2024-08-07 07:05:24.452
325,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:25'), member1=None)",,N,,,0,,,,184,,,1,,2024-08-07 07:05:24.452
326,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:25'), member1=None)",,N,,,0,,,,184,,,2,,2024-08-07 07:05:24.452
327,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:26'), member1=None)",,N,,,0,,,,185,,,1,,2024-08-07 07:05:24.452
328,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:26'), member1=None)",,N,,,0,,,,185,,,2,,2024-08-07 07:05:24.452
329,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:26'), member1=None)",,N,,,0,,,,186,,,1,,2024-08-07 07:05:24.452
330,Y,1,"Row(member0=Timestamp('2022-04-07 23:12:26'), member1=None)",,N,,,0,,,,186,,,2,,2024-08-07 07:05:24.452
331,Y,1,"Row(member0=Timestamp('2022-04-07 23:53:58'), member1=None)",,N,,,0,,,,187,,,1,,2024-08-07 07:05:24.452
332,Y,1,"Row(member0=Timestamp('2022-04-07 23:53:58'), member1=None)",,N,,,0,,,,187,,,2,,2024-08-07 07:05:24.452
333,Y,1,"Row(member0=Timestamp('2022-04-10 01:06:57'), member1=None)",,N,,,0,,,,188,,,1,,2024-08-07 07:05:24.452
334,Y,1,"Row(member0=Timestamp('2022-04-10 01:06:57'), member1=None)",,N,,,0,,,,188,,,2,,2024-08-07 07:05:24.452
335,Y,1,"Row(member0=Timestamp('2022-04-11 01:14:17'), member1=None)",,N,,,0,,,,189,,,1,,2024-08-07 07:05:24.452
336,Y,1,"Row(member0=Timestamp('2022-04-11 01:14:17'), member1=None)",,N,,,0,,,,189,,,2,,2024-08-07 07:05:24.452
337,Y,1,"Row(member0=Timestamp('2022-04-11 01:19:13'), member1=None)",,N,,,0,,,,190,,,1,,2024-08-07 07:05:24.452
338,Y,1,"Row(member0=Timestamp('2022-04-11 01:19:13'), member1=None)",,N,,,0,,,,190,,,2,,2024-08-07 07:05:24.452
339,Y,1,"Row(member0=Timestamp('2022-04-11 02:09:32'), member1=None)",,N,,,0,,,,191,,,1,,2024-08-07 07:05:24.452
340,Y,1,"Row(member0=Timestamp('2022-04-11 02:09:32'), member1=None)",,N,,,0,,,,191,,,2,,2024-08-07 07:05:24.452
341,Y,1,"Row(member0=Timestamp('2022-04-11 03:24:09'), member1=None)",,N,,,2,,,,192,,,1,,2024-08-07 07:05:24.452
342,Y,1,"Row(member0=Timestamp('2022-04-11 03:24:09'), member1=None)",,N,,,0,,,,192,,,2,,2024-08-07 07:05:24.452
343,Y,1,"Row(member0=Timestamp('2022-04-11 03:47:08'), member1=None)",,N,,,0,,,,193,,,1,,2024-08-07 07:05:24.452
344,Y,1,"Row(member0=Timestamp('2022-04-11 03:47:08'), member1=None)",,N,,,0,,,,193,,,2,,2024-08-07 07:05:24.452
345,Y,1,"Row(member0=Timestamp('2022-04-11 04:27:57'), member1=None)",,N,,,0,,,,194,,,1,,2024-08-07 07:05:24.452
346,Y,1,"Row(member0=Timestamp('2022-04-11 04:27:57'), member1=None)",,N,,,0,,,,194,,,2,,2024-08-07 07:05:24.452
347,Y,1,"Row(member0=Timestamp('2022-04-12 00:29:39'), member1=None)",,N,,,0,,,,195,,,1,,2024-08-07 07:05:24.452
348,Y,1,"Row(member0=Timestamp('2022-04-12 00:29:39'), member1=None)",,N,,,0,,,,195,,,2,,2024-08-07 07:05:24.452
349,Y,1,"Row(member0=Timestamp('2022-04-12 00:34:46'), member1=None)",,N,,,0,,,,196,,,1,,2024-08-07 07:05:24.452
350,Y,1,"Row(member0=Timestamp('2022-04-12 00:34:46'), member1=None)",,N,,,0,,,,196,,,2,,2024-08-07 07:05:24.452
351,Y,1,"Row(member0=Timestamp('2022-04-12 00:35:48'), member1=None)",,N,,,0,,,,197,,,1,,2024-08-07 07:05:24.452
352,Y,1,"Row(member0=Timestamp('2022-04-12 00:35:48'), member1=None)",,N,,,0,,,,197,,,2,,2024-08-07 07:05:24.452
353,Y,1,"Row(member0=Timestamp('2022-04-12 00:47:55'), member1=None)",,N,,,0,,,,198,,,1,,2024-08-07 07:05:24.452
354,Y,1,"Row(member0=Timestamp('2022-04-12 00:47:55'), member1=None)",,N,,,0,,,,198,,,2,,2024-08-07 07:05:24.452
355,Y,1,"Row(member0=Timestamp('2022-04-12 00:48:29'), member1=None)",,N,,,0,,,,199,,,1,,2024-08-07 07:05:24.452
356,Y,1,"Row(member0=Timestamp('2022-04-12 00:48:29'), member1=None)",,N,,,0,,,,199,,,2,,2024-08-07 07:05:24.452
357,Y,1,"Row(member0=Timestamp('2022-04-12 00:48:40'), member1=None)",,N,,,0,,,,200,,,1,,2024-08-07 07:05:24.452
358,Y,1,"Row(member0=Timestamp('2022-04-12 00:48:40'), member1=None)",,N,,,0,,,,200,,,2,,2024-08-07 07:05:24.452
359,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:25'), member1=None)",,N,,,0,,,,201,,,1,,2024-08-07 07:05:24.452
360,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:25'), member1=None)",,N,,,4,,,,201,,,2,,2024-08-07 07:05:24.452
361,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:25'), member1=None)",,N,,,0,,,,202,,,1,,2024-08-07 07:05:24.452
362,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:25'), member1=None)",,N,,,0,,,,202,,,2,,2024-08-07 07:05:24.452
363,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:26'), member1=None)",,N,,,0,,,,203,,,1,,2024-08-07 07:05:24.452
364,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:26'), member1=None)",,N,,,0,,,,203,,,2,,2024-08-07 07:05:24.452
365,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:27'), member1=None)",,N,,,0,,,,204,,,1,,2024-08-07 07:05:24.452
366,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:27'), member1=None)",,N,,,0,,,,204,,,2,,2024-08-07 07:05:24.452
367,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:27'), member1=None)",,N,,,0,,,,205,,,1,,2024-08-07 07:05:24.452
368,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:27'), member1=None)",,N,,,0,,,,205,,,2,,2024-08-07 07:05:24.452
369,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:28'), member1=None)",,N,,,0,,,,206,,,1,,2024-08-07 07:05:24.452
370,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:28'), member1=None)",,N,,,0,,,,206,,,2,,2024-08-07 07:05:24.452
371,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:28'), member1=None)",,N,,,0,,,,207,,,1,,2024-08-07 07:05:24.452
372,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:28'), member1=None)",,N,,,0,,,,207,,,2,,2024-08-07 07:05:24.452
373,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:29'), member1=None)",,N,,,0,,,,208,,,1,,2024-08-07 07:05:24.452
374,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:29'), member1=None)",,N,,,0,,,,208,,,2,,2024-08-07 07:05:24.452
375,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:33'), member1=None)",,N,,,0,,,,209,,,1,,2024-08-07 07:05:24.452
376,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:33'), member1=None)",,N,,,0,,,,209,,,2,,2024-08-07 07:05:24.452
377,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:34'), member1=None)",,N,,,0,,,,210,,,1,,2024-08-07 07:05:24.452
378,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:34'), member1=None)",,N,,,0,,,,210,,,2,,2024-08-07 07:05:24.452
379,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:35'), member1=None)",,N,,,0,,,,211,,,1,,2024-08-07 07:05:24.452
380,Y,1,"Row(member0=Timestamp('2022-04-12 03:36:35'), member1=None)",,N,,,0,,,,211,,,2,,2024-08-07 07:05:24.452
381,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:44'), member1=None)",,N,,,0,,,,212,,,1,,2024-08-07 07:05:24.452
382,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:44'), member1=None)",,N,,,0,,,,212,,,2,,2024-08-07 07:05:24.452
383,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:44'), member1=None)",,N,,,0,,,,213,,,1,,2024-08-07 07:05:24.452
384,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:44'), member1=None)",,N,,,0,,,,213,,,2,,2024-08-07 07:05:24.452
385,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:49'), member1=None)",,N,,,0,,,,214,,,1,,2024-08-07 07:05:24.452
386,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:49'), member1=None)",,N,,,0,,,,214,,,2,,2024-08-07 07:05:24.452
387,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:55'), member1=None)",,N,,,0,,,,215,,,1,,2024-08-07 07:05:24.452
388,Y,1,"Row(member0=Timestamp('2022-04-12 04:40:55'), member1=None)",,N,,,0,,,,215,,,2,,2024-08-07 07:05:24.452
389,Y,1,"Row(member0=Timestamp('2022-04-12 05:07:47'), member1=None)",,N,,,0,,,,216,,,1,,2024-08-07 07:05:24.452
390,Y,1,"Row(member0=Timestamp('2022-04-12 05:07:47'), member1=None)",,N,,,0,,,,216,,,2,,2024-08-07 07:05:24.452
391,Y,1,"Row(member0=Timestamp('2022-04-12 05:38:08'), member1=None)",,N,,,0,,,,217,,,1,,2024-08-07 07:05:24.452
392,Y,1,"Row(member0=Timestamp('2022-04-12 05:38:08'), member1=None)",,N,,,2,,,,217,,,2,,2024-08-07 07:05:24.452
393,Y,1,"Row(member0=Timestamp('2022-04-12 23:19:33'), member1=None)",,N,,,0,,,,218,,,1,,2024-08-07 07:05:24.452
394,Y,1,"Row(member0=Timestamp('2022-04-12 23:19:33'), member1=None)",,N,,,0,,,,218,,,2,,2024-08-07 07:05:24.452
395,Y,1,"Row(member0=Timestamp('2022-04-12 23:29:20'), member1=None)",,N,,,0,,,,219,,,1,,2024-08-07 07:05:24.452
396,Y,1,"Row(member0=Timestamp('2022-04-12 23:29:20'), member1=None)",,N,,,0,,,,219,,,2,,2024-08-07 07:05:24.452
397,Y,1,"Row(member0=Timestamp('2022-04-12 23:51:15'), member1=None)",,N,,,0,,,,220,,,1,,2024-08-07 07:05:24.452
398,Y,1,"Row(member0=Timestamp('2022-04-12 23:51:15'), member1=None)",,N,,,0,,,,220,,,2,,2024-08-07 07:05:24.452
399,Y,1,"Row(member0=Timestamp('2022-04-13 00:27:40'), member1=None)",,N,,,0,,,,221,,,1,,2024-08-07 07:05:24.452
400,Y,1,"Row(member0=Timestamp('2022-04-13 00:27:40'), member1=None)",,N,,,0,,,,221,,,2,,2024-08-07 07:05:24.452
401,Y,1,"Row(member0=Timestamp('2022-04-13 01:53:05'), member1=None)",,N,,,0,,,,222,,,1,,2024-08-07 07:05:24.452
402,Y,1,"Row(member0=Timestamp('2022-04-13 01:53:05'), member1=None)",,N,,,0,,,,222,,,2,,2024-08-07 07:05:24.452
403,Y,1,"Row(member0=Timestamp('2022-04-13 02:25:42'), member1=None)",,N,,,0,,,,223,,,1,,2024-08-07 07:05:24.452
404,Y,1,"Row(member0=Timestamp('2022-04-13 02:25:42'), member1=None)",,N,,,0,,,,223,,,2,,2024-08-07 07:05:24.452
405,Y,1,"Row(member0=Timestamp('2022-04-13 02:47:13'), member1=None)",,N,,,0,,,,224,,,1,,2024-08-07 07:05:24.452
406,Y,1,"Row(member0=Timestamp('2022-04-13 02:47:13'), member1=None)",,N,,,0,,,,224,,,2,,2024-08-07 07:05:24.452
407,Y,1,"Row(member0=Timestamp('2022-04-13 02:48:36'), member1=None)",,N,,,0,,,,225,,,1,,2024-08-07 07:05:24.452
408,Y,1,"Row(member0=Timestamp('2022-04-13 02:48:36'), member1=None)",,N,,,0,,,,225,,,2,,2024-08-07 07:05:24.452
409,Y,1,"Row(member0=Timestamp('2022-04-13 02:48:36'), member1=None)",,N,,,0,,,,226,,,1,,2024-08-07 07:05:24.452
410,Y,1,"Row(member0=Timestamp('2022-04-13 02:48:36'), member1=None)",,N,,,0,,,,226,,,2,,2024-08-07 07:05:24.452
411,Y,1,"Row(member0=Timestamp('2022-04-13 02:48:47'), member1=None)",,N,,,0,,,,227,,,1,,2024-08-07 07:05:24.452
