nta,area,ftxt1,ftxt2,ftxt3,ftxt4,ftxt5,ftxt6,ftxt7,ftxt8,ftxt9,cif_id,ftxt10,ra_code,ra_code2,ra_code3,fmv_value,lmod_time,rcre_time,riskgrade,used_type,group_code,model_year,stock_type,lmod_userid,plot_number,raunit_code,rcre_userid,stock_value,subgroupcode,vehicle_type,exited_or_not,property_owner,valuators_name,fmv_of_security,newused_vehicle,nature_of_charge,price_of_vehicle,type_of_security,is_self_valuation,security_coverage,value_of_security,multi_banking_code,regd_no_of_vehicle,last_valuation_date,other_security_type,is_third_party_owner,location_of_property,other_security_value,other_security_remark,stock_receivable_value,description_of_security,engine_number_of_vehicle,requirement_of_insurance,chasis_number_of_vechicle,credit_approving_authority,distress_value_of_security,updated_at
,,,,,,,,,,,DLNLEG9678391,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG5738561,,19,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG9334212,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG5063941,,CB311,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,LACOR,PRAMILAS,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,SAC5,,2024-08-07 06:59:40.381
70,,,,,,,,,,,DLNLEG6465924,,102,,,1350000,2018-11-10T14:28:57,2018-11-10T14:28:57,BAD,,31,,,,,LACOR,PRAMILAS,,,,N,,,,,,,,,,,MB1,,,,,,,,,,,SEC12,,SAC3,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG8980703,,68,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG2266684,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG1075920,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG1598748,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNIND8212211,,15,,,714400,2018-11-10T14:28:57,2018-11-10T14:28:57,RSK1D,,NGRP,,,,,RTBAN,PRAMILAS,,,,Y,,,,,,,,,,,NMB2,,,,,,,,,,,1,,SAC7,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNIND5676264,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
70,,,,,,,,,,,DLNLEG3286748,,02R03,,,6536000,2020-09-08T12:42:15,2018-11-10T14:28:57,OTH,,00082,,,AS2195,,OTCOR,PRAMILAS,,,,Y,,,,,,,,,,,NMB2,,,,,,,,,,,1,,,,2024-08-07 06:59:40.381
70,,,,,,,,,,,DLNLEG5604950,,BIR16,,,31488000.00,2020-11-02T14:49:34,2018-11-10T14:28:57,RSK2D,,00551,,,SK1789,,MESME,PRAMILAS,,,,Y,,,,,,,,,,,NMB1,,,,,,,,,,,1,,CMC,,2024-08-07 06:59:40.381
52.47,,,,A+,,,,,,,DLNIND9084977,,B9,,,8577000.00,2020-12-06T19:23:45,2020-12-06T19:23:45,RSK1A,,NGRP,,,,,RTBAN,PB4514,,NGRP,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
58.94 %,,,,AA-,,,,,,,DLNIND5013653,,38,,,3393000.00,2020-12-23T15:37:41,2020-12-23T15:37:41,RSK1D,,NGRP,,,,,RTBAN,KM3569,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,BM,,2024-08-07 06:59:40.381
59.87,,,,A,,,,,,,DLNIND8496642,,U9,,,4510000.00,2021-04-28T16:04:00.000000,2021-04-28T16:04:00.000000,RSK1A,,NGRP,,,,,RTBAN,SK4627,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,COPO,,2024-08-07 06:59:40.381
70,,,,BB-,,,,,,,DLNLEG3727146,,BIR16,,,31488000.00,2021-07-18T15:28:27,2018-11-10T14:28:57,RSK3A,,00551,,,BB5230,,MESME,PRAMILAS,,,,N,,,,,,,,,,,MB2,,,,,,,,,,,1,,CMC,,2024-08-07 06:59:40.381
70.00,,CALL-REMOVED,,A+,,,,,,,DLNLEG1337370,,I2,,,2960000.00,2021-10-22T11:03:16,2021-09-17T12:55:26,RSK2A,,NGRP,,,SK1789,,SBSME,DP3715,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,COPO,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG9966100,,E6,,,10651000.00,2021-11-18T17:37:46,2019-02-14T10:35:49,RSK1A,,03661,,,KS2280,,SBSME,AS2195,,,,Y,,,,,,,,,,,NMB2,,,,,,,,,,,2,,,,2024-08-07 06:59:40.381
70,,,,A,,,,,,,DLNLEG6218579,,D2,,,4436000.00,2021-11-24T10:43:17,2020-11-13T16:56:56,RSK1A,,04714,,,KB1558,,SBSME,AB3570,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
0.00,,,,A+,,,,,,,DLNIND6814583,,30,,,16519000.00,2022-03-28T19:03:21,2021-01-21T19:33:41,RSK1A,,0,,,NP6927,,RTBAN,NA2503,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,BM,,2024-08-07 06:59:40.381
,,,,AA+,,,,,,,DLNLEG1189719,,D0,,,300000.00,2022-04-25T14:20:09,2018-11-10T14:28:57,RSK2A,,NGRP,,,AS3589,,SBSME,PRAMILAS,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,BM,,2024-08-07 06:59:40.381
29.89,,,,AA-,,,,,,,DLNIND3986994,,70,,,13381600.00,2022-05-05T16:55:24,2021-02-11T22:14:16,RSK1A,,NGRP,,,KB1558,,RTBAN,SK4627,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
48.34%,,,,AAA,,,,,,,DLNIND5461679,,O5,,,10332000.00,2022-05-10T15:49:29,2021-02-16T18:24:14,RSK1A,,NGRP,,,SM5493,,RTBAN,DP3715,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
49.80%,,,,AA-,,,,,,,DLNIND9898224,,15R01,,,11450000.00,2022-05-24T18:42:20,2018-11-10T14:28:57,RSK5B,,NGRP,,,SJ4462,,RTBAN,PRAMILAS,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,CO,,2024-08-07 06:59:40.381
49.91,,,,AAA,,,,,,,DLNIND8221535,,D1,,,7414000.00,2022-05-27T18:29:33,2019-10-01T11:47:57,RSK1A,,NGRP,,,RS6512,,RTBAN,KS2280,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
70,,,,,,,,,,,DLNLEG5142567,,DMB04,,,,2022-08-03T11:06:38,2018-11-10T14:28:57,RSK3,,00075,,,AS2195,,LACOR,PRAMILAS,,,,Y,,,,,,,,,,,MB1,,,,,,,,,,,1,,,,2024-08-07 06:59:40.381
62.20,,,,AAA,,,,,,,DLNIND5644007,,D8,,,2408000.00,2022-08-23T14:45:46,2021-08-01T19:18:08,RSK1A,,NGRP,,,AS3589,,DFDSL,AK3586,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,BM,,2024-08-07 06:59:40.381
70.00,,,,A-,,,,,,,DLNLEG5646672,,V7,,,17565500.00,2022-09-30T12:55:37,2020-07-17T14:12:09,RSK1A,,8688,,,PP4992,,SBSME,KM3569,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,COPO,,2024-08-07 06:59:40.381
70.00,,,,BB+,,,,,,,DLNLEG5022872,,A5,,,700000.00,2022-10-15T16:55:44,2020-10-04T09:56:00.000000,RSK1B,,NGRP,,,HB6760,,SBSME,AB3570,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
,,,,A+,,,,,,,DLNIND7426436,,66,,,17692000,2023-04-19T14:16:06,2018-11-10T14:28:57,RSK1D,,8216,,,BS2791,,RTBAN,PRAMILAS,,,,N,,,,,,,,,,,NMB1,,,,,,,,,,,1,,SAC7,,2024-08-07 06:59:40.381
70.00,,,,BBB-,,,,,,,DLNLEG2158354,,H8,,,8124000.00,2023-05-09T15:33:32,2023-02-16T13:13:36,RSK1A,,04730,,,ST1903,,SBSME,SN1138,,,,N,,,,,,,,,,,MB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
,,,,AA+,,,,,,,DLNLEG3169101,,57,,,,2023-07-06T17:48:35,2018-11-10T14:28:57,RSK1A,,NGRP,,,PB4514,,IFDSL,PRAMILAS,,,,Y,,,,,,,,,,,NMB1,,,,,,,,,,,2,,MCC,,2024-08-07 06:59:40.381
,,,,B-,,,,,,,DLNLEG8767566,,I4,,,5341301000.00,2023-07-14T13:39:57,2018-11-10T14:28:57,RSK1B,,NGRP,,,PB4514,,IFDSL,PRAMILAS,,,,Y,,,,,,,,,,,NMB1,,,,,,,,,,,2,,MCC,,2024-08-07 06:59:40.381
,,,,AAA,,,,,,,DLNIND2622447,,90,,,,2023-07-18T12:10:13,2022-09-29T12:12:18,RSK1A,,NGRP,,,AK3586,,RTBAN,SK4366,,,,Y,,,,,,,,,,,NMB2,,,,,,,,,,,2,,BM,,2024-08-07 06:59:40.381
,,,,A,,,,,,,DLNIND5576304,,54,,,0.00,2024-03-26T15:04:09,2023-03-13T21:07:21,,,NGRP,,,NP6927,,RTBAN,SN1138,,,,Y,,,,,,,,,,,NMB2,,,,,,,,,,,2,,MCC,,2024-08-07 06:59:40.381
70.00,,,,AAA,,,,,,,DLNLEG9101051,,P5,,,11044000.00,2024-06-26T18:40:29,2019-03-27T17:28:55,RSK1A,,04143,,,FIVUSR,,SBSME,SK1789,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,1,,BM,,2024-08-07 06:59:40.381
0.00,,,,A,,,,,,,DLNIND3781309,,P1,,,14580000.00,2024-07-03T17:40:32,2020-08-02T12:49:09,RSK1A,,NGRP,,,FIVUSR,,RTBAN,AS3589,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,MCC,,2024-08-07 06:59:40.381
50.00,,,,AA+,,,,,,,DLNIND6943934,,22,,,60306517.50,2024-07-09T20:17:25,2020-12-07T13:49:42,RSK1A,,01872,,,FIVUSR,,RTBAN,SR2288,,,,N,,,,,,,,,,,NMB2,,,,,,,,,,,2,,MCC,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNIND3694466,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,STAFF,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
